Price,Close,High,Low,Open,Volume
Ticker,BTC-EUR,BTC-EUR,BTC-EUR,BTC-EUR,BTC-EUR
Date,,,,,
2019-02-01,3044.247314453125,3056.47412109375,2998.878173828125,3023.147705078125,4733081624
2019-02-02,3073.150146484375,3075.093505859375,3026.468017578125,3041.35009765625,4426467434
2019-02-03,3023.359619140625,3073.43603515625,3010.15869140625,3068.85498046875,4402303328
2019-02-04,3024.73291015625,3036.474609375,3006.6142578125,3026.67822265625,4663004052
2019-02-05,3038.158203125,3045.831787109375,3017.62109375,3021.285400390625,4581790350
2019-02-06,3003.6240234375,3041.703125,2990.384033203125,3040.58251953125,4823543077
2019-02-07,2998.1572265625,3023.773681640625,2992.611328125,3004.47900390625,4414116828
2019-02-08,3237.059326171875,3262.93896484375,2990.34033203125,2999.833740234375,6829062223
2019-02-09,3240.96435546875,3248.67822265625,3219.2080078125,3241.3017578125,5437061453
2019-02-10,3258.583740234375,3263.156494140625,3212.017822265625,3242.72802734375,5547484136
2019-02-11,3234.70947265625,3263.954345703125,3229.37255859375,3263.3740234375,5565257065
2019-02-12,3223.957763671875,3237.48388671875,3208.133056640625,3229.6748046875,5718440360
2019-02-13,3224.065673828125,3237.43212890625,3196.40869140625,3223.15087890625,5715596001
2019-02-14,3202.042724609375,3237.303466796875,3191.997314453125,3223.7529296875,5551786978
2019-02-15,3205.250244140625,3236.49169921875,3202.755859375,3202.77099609375,5392778873
2019-02-16,3213.19677734375,3233.604736328125,3200.345703125,3200.345703125,5253613477
2019-02-17,3252.190185546875,3258.1220703125,3203.80859375,3216.35888671875,6231587653
2019-02-18,3461.663818359375,3480.3857421875,3248.778564453125,3250.539306640625,8759299472
2019-02-19,3480.855712890625,3550.25,3457.109130859375,3458.1708984375,8760246807
2019-02-20,3525.2978515625,3527.2646484375,3459.408203125,3480.332763671875,7662026836
2019-02-21,3486.701904296875,3538.560791015625,3477.77587890625,3525.846435546875,6856030209
2019-02-22,3532.99462890625,3533.866943359375,3483.81005859375,3485.425537109375,6903230070
2019-02-23,3653.8330078125,3674.789306640625,3500.535888671875,3527.1640625,7869699502
2019-02-24,3359.55859375,3713.912353515625,3346.8974609375,3656.418212890625,9517000488
2019-02-25,3416.384521484375,3446.43798828125,3357.589599609375,3356.70263671875,8199608659
2019-02-26,3382.94287109375,3424.978759765625,3379.6923828125,3412.85791015625,6961175395
2019-02-27,3384.327392578125,3414.516357421875,3330.305419921875,3385.929931640625,7295249060
2019-02-28,3389.312255859375,3434.39404296875,3381.4306640625,3382.491455078125,7385479037
2019-03-01,3394.986328125,3437.39453125,3387.197509765625,3388.581787109375,6739025250
2019-03-02,3398.930908203125,3408.20166015625,3370.83544921875,3391.234375,6665890978
2019-03-03,3381.98291015625,3409.650634765625,3372.8779296875,3397.040771484375,6376472408
2019-03-04,3317.8173828125,3401.70654296875,3293.70849609375,3380.15087890625,7964031008
2019-03-05,3445.9853515625,3454.646240234375,3303.940673828125,3316.484375,8998078794
2019-03-06,3450.86279296875,3468.378662109375,3427.740966796875,3446.609619140625,8110434720
2019-03-07,3493.00244140625,3484.552978515625,3442.310302734375,3450.37353515625,8558774818
2019-03-08,3472.416748046875,3514.0634765625,3449.360107421875,3494.585205078125,9469505717
2019-03-09,3527.74560546875,3549.040283203125,3464.63623046875,3466.560791015625,9609611742
2019-03-10,3518.216064453125,3530.291748046875,3491.600341796875,3530.291748046875,8647984408
2019-03-11,3468.384765625,3531.014404296875,3464.798583984375,3520.12158203125,8993208390
2019-03-12,3463.680419921875,3482.302490234375,3431.087646484375,3467.080078125,8691981778
2019-03-13,3447.834228515625,3464.02880859375,3446.14501953125,3467.057861328125,8356934390
2019-03-14,3470.221435546875,3493.291748046875,3451.3134765625,3446.3515625,9267900197
2019-03-15,3494.7119140625,3505.314697265625,3457.9033203125,3472.7919921875,8288512017
2019-03-16,3572.19091796875,3597.169189453125,3495.370361328125,3497.34912109375,8696096120
2019-03-17,3555.384033203125,3576.951904296875,3534.8564453125,3571.302978515625,7261956175
2019-03-18,3557.131103515625,3594.7978515625,3533.960693359375,3560.247314453125,8509713345
2019-03-19,3585.598876953125,3595.55859375,3546.39111328125,3557.3828125,8230304628
2019-03-20,3576.836181640625,3579.55517578125,3552.505126953125,3585.180908203125,8904659506
2019-03-21,3542.43115234375,3596.86328125,3524.140625,3573.741455078125,9522390586
2019-03-22,3558.986572265625,3586.8154296875,3530.90625,3541.72509765625,8183731459
2019-03-23,3569.474609375,3581.906494140625,3551.907958984375,3557.876708984375,8471985632
2019-03-24,3560.789306640625,3573.78466796875,3547.01513671875,3568.88818359375,8095854344
2019-03-25,3502.470703125,3573.08984375,3478.057373046875,3562.5107421875,9155769653
2019-03-26,3534.5634765625,3534.5634765625,3494.65283203125,3507.794189453125,9497165017
2019-03-27,3631.9794921875,3632.138916015625,3531.162109375,3534.148681640625,9683758088
2019-03-28,3623.731201171875,3649.548828125,3598.2412109375,3632.922607421875,8330101742
2019-03-29,3652.0615234375,3662.80517578125,3590.794189453125,3622.54443359375,9729622878
2019-03-30,3659.44482421875,3828.884521484375,3612.43896484375,3646.50244140625,8672798331
2019-03-31,3657.865966796875,3664.65478515625,3647.794677734375,3658.3720703125,8059095555
2019-04-01,3710.858154296875,3711.0234375,3650.339111328125,3657.873779296875,9065049147
2019-04-02,4354.8955078125,4378.11767578125,3708.283447265625,3709.759765625,19021953657
2019-04-03,4422.50830078125,4722.5859375,4352.8037109375,4355.7431640625,20364873584
2019-04-04,4386.38623046875,4502.37451171875,4308.96923828125,4421.103515625,16263001737
2019-04-05,4488.1865234375,4505.3154296875,4382.77490234375,4386.22021484375,15003740653
2019-04-06,4508.80322265625,4638.90771484375,4448.56884765625,4488.2861328125,15086140497
2019-04-07,4634.541015625,4666.12158203125,4500.42236328125,4511.45556640625,14847420752
2019-04-08,4699.3056640625,4739.82275390625,4577.84130859375,4635.3203125,15239302854
2019-04-09,4619.98876953125,4699.43603515625,4582.1416015625,4699.43603515625,13067531219
2019-04-10,4722.0576171875,4810.05126953125,4609.57861328125,4619.2626953125,13750184451
2019-04-11,4497.26513671875,4748.88232421875,4451.70654296875,4722.46875,14701387025
2019-04-12,4500.67919921875,4516.7705078125,4391.52978515625,4494.34619140625,12092984942
2019-04-13,4506.91162109375,4533.9140625,4475.96337890625,4500.06982421875,9571034992
2019-04-14,4571.3828125,4586.13330078125,4469.24951171875,4506.17919921875,9192752356
2019-04-15,4482.4501953125,4595.40087890625,4444.6083984375,4571.0283203125,10872080100
2019-04-16,4639.52783203125,4641.77880859375,4471.072265625,4482.17333984375,10295957065
2019-04-17,4649.068359375,4674.55859375,4611.70068359375,4640.0380859375,11010667480
